Cassette: ,J900K/ENG_STI_CMPSTI_P1_FM_ Alignt OK
COLLECTION DATE/TIME: ,9/3/2015  13:33:1
PROCESS DATE/TIME: ,9/3/2015  13:33:1
EQUIPMENT: ,
OPERATOR: ,
SHIFT: ,
MACHINE TYPE: ,SpectraFx 100 with Dual FIMS Thin Film Measurement System



WAFER ID,"2015/09/03 13:33 05",
LOT ID,"Q527127Q10",
Cassette,Left,
SLOT,5,
STATUS,"",
DATA TYPE,SE,
RECIPE,"J900K/ENG_STI_CMPSTI_P1_FM",
RCP CNT,1,
MEAS SET,1L_Ox_T>1000,
MATERIAL,"Thermal SiO2",
SITE,1,
RESULT TYPE,1st Thickness,GOF ,
MEAN, 5436.8013,0.8586,
MIN, 5149.2134,0.8416,
MAX, 5585.8174,0.8650,
% STDDEV,  1.7425,  0.5757,
STDDEV,   94.7379,0.0049,
3 % STDDEV,  5.2276,  1.7272,
3 STDDEV,  284.2137,0.0148,
RANGE,  436.6040,0.0233,
Site #,Value,Value, X , Y ,
67, 1200.7769,  917.4609,2.0224,0.8892,-24.0144,-97.8662,
68, 1126.6423,  920.0228,2.0226,0.8868,-49.2844,-97.8662,
69, 1194.2574,  922.3097,2.0225,0.8896,-74.5544,-97.8662,
70, 1107.6007,  925.0076,2.0230,0.8819,-99.8244,-97.8662,
71, 1250.7938,  925.8574,2.0230,0.8914,-49.2844,-128.0582,
72, 1358.8156,  922.9868,2.0227,0.8936,-24.0144,-128.0582,
73, 1312.7423,  920.7437,2.0227,0.8915,  1.2556,-128.0582,
74, 1401.0967,  919.5649,2.0228,0.8936, 26.5256,-128.0582,
75, 1192.4828,  919.1190,2.0229,0.8924, 51.7956,-128.0582,

WAFER ID,"2015/09/03 13:33 10",
LOT ID,"Q527127Q10",
Cassette,Left,
SLOT,10,
STATUS,"",
DATA TYPE,SE,
RECIPE,"J900K/ENG_STI_CMPSTI_P1_FM",
RCP CNT,1,
MEAS SET,1L_Ox_T>1000,
MATERIAL,"Thermal SiO2",
SITE,1,
RESULT TYPE,1st Thickness,GOF ,
MEAN, 5677.3140,0.8566,
MIN, 5214.7334,0.8454,
MAX, 5814.9878,0.8658,
% STDDEV,  1.7523,  0.6154,
STDDEV,   99.4841,0.0053,
3 % STDDEV,  5.2569,  1.8461,
3 STDDEV,  298.4524,0.0158,
RANGE,  600.2544,0.0204,
Site #,Value,Value, X , Y ,
1, 5643.0010,0.8641,-23.8371,113.4814,
2, 5657.9399,0.8599,  1.4329,113.4814,
3, 5687.8228,0.8555, 26.7029,113.4814,
4, 5726.5732,0.8537, 77.2429, 83.2894,
5, 5716.2534,0.8573, 51.9729, 83.2894,
6, 5682.4624,0.8566, 26.7029, 83.2894,
7, 5670.3696,0.8594,  1.4329, 83.2894,
8, 5673.0654,0.8602,-23.8371, 83.2894,
9, 5658.4980,0.8608,-49.1071, 83.2894,
10, 5670.1323,0.8593,-74.3771, 83.2894,
11, 5674.7466,0.8606,-99.6471, 53.0974,
12, 5665.0767,0.8584,-74.3771, 53.0974,
13, 5620.9902,0.8633,-49.1071, 53.0974,
14, 5615.5005,0.8630,-23.8371, 53.0974,
15, 5558.8672,0.8633,  1.4329, 53.0974,
16, 5633.8896,0.8606, 26.7029, 53.0974,
17, 5718.5620,0.8563, 51.9729, 53.0974,
18, 5741.4136,0.8540, 77.2429, 53.0974,
19, 5750.4517,0.8530,102.5129, 53.0974,
20, 5713.7637,0.8542,127.7829, 22.9054,
21, 5781.3159,0.8490,102.5129, 22.9054,
22, 5772.1274,0.8510, 77.2429, 22.9054,
23, 5705.2495,0.8564, 51.9729, 22.9054,
24, 5632.4561,0.8635, 26.7029, 22.9054,
25, 5535.9033,0.8631,  1.4329, 22.9054,
26, 5547.6177,0.8658,-23.8371, 22.9054,
27, 5551.2798,0.8638,-49.1071, 22.9054,
28, 5635.5669,0.8617,-74.3771, 22.9054,
29, 5702.6362,0.8570,-99.6471, 22.9054,
30, 5707.5732,0.8577,-124.9171, 22.9054,
31, 5717.4492,0.8549,-124.9171, -7.2866,
32, 5698.6201,0.8557,-99.6471, -7.2866,
33, 5650.4038,0.8625,-74.3771, -7.2866,
34, 5584.0649,0.8635,-49.1071, -7.2866,
35, 5604.5186,0.8643,-23.8371, -7.2866,
36, 5571.8921,0.8638,  1.4329, -7.2866,
37, 5666.6475,0.8603, 26.7029, -7.2866,
38, 5695.2354,0.8565, 51.9729, -7.2866,
39, 5766.7090,0.8515, 77.2429, -7.2866,
40, 5798.0566,0.8480,102.5129, -7.2866,
41, 5762.8140,0.8504,127.7829, -7.2866,
42, 5676.3828,0.8579,127.7829,-37.4786,
43, 5802.9385,0.8454,102.5129,-37.4786,
44, 5777.6074,0.8486, 77.2429,-37.4786,
45, 5715.1484,0.8553, 51.9729,-37.4786,
46, 5661.0381,0.8631, 26.7029,-37.4786,
47, 5647.5898,0.8637,  1.4329,-37.4786,
48, 5605.0464,0.8649,-23.8371,-37.4786,
49, 5599.2515,0.8636,-49.1071,-37.4786,
50, 5722.7305,0.8548,-74.3771,-37.4786,
51, 5714.4380,0.8567,-99.6471,-37.4786,
52, 5694.9355,0.8563,-124.9171,-37.4786,
53, 5214.7334,0.8463,-124.9171,-67.6706,
54, 5705.6709,0.8556,-99.6471,-67.6706,
55, 5703.9561,0.8555,-74.3771,-67.6706,
56, 5700.3643,0.8560,-49.1071,-67.6706,
57, 5699.1304,0.8557,-23.8371,-67.6706,
58, 5680.1982,0.8599,  1.4329,-67.6706,
59, 5717.6289,0.8546, 26.7029,-67.6706,
60, 5756.9863,0.8529, 51.9729,-67.6706,
61, 5780.2964,0.8494, 77.2429,-67.6706,
62, 5814.9878,0.8474,102.5129,-67.6706,
63, 5805.0532,0.8489, 77.2429,-97.8626,
64, 5792.5654,0.8478, 51.9729,-97.8626,
65, 5770.6089,0.8509, 26.7029,-97.8626,
66, 5729.9302,0.8522,  1.4329,-97.8626,
67, 5745.7583,0.8513,-23.8371,-97.8626,
68, 5760.7808,0.8489,-49.1071,-97.8626,
69, 5756.9395,0.8518,-74.3771,-97.8626,
70, 5344.2705,0.8527,-99.6471,-97.8626,
71, 5486.4683,0.8606,-49.1071,-128.0546,
72, 5719.5166,0.8556,-23.8371,-128.0546,
73, 5732.8242,0.8528,  1.4329,-128.0546,
74, 5724.9458,0.8543, 26.7029,-128.0546,
75, 5470.3188,0.8605, 51.9729,-128.0546,

WAFER ID,"2015/09/03 13:33 10",
LOT ID,"Q527127Q10",
Cassette,Left,
SLOT,10,
STATUS,"",
DATA TYPE,SE,
RECIPE,"J900K/ENG_STI_CMPSTI_P1_FM",
RCP CNT,1,
MEAS SET,ENG: H10-OX5000/NIT1100/OX75,
MATERIAL,"Thermal SiO2",
SITE,1,
RESULT TYPE,3rd Thickness,2nd Thickness,2nd RI @ 633.0nm,GOF ,
MEAN, 1445.1986,  904.5157,2.0225,0.8955,
MIN,  963.2164,  894.0959,2.0217,0.8715,
MAX, 1592.8829,  919.3343,2.0240,0.9012,
% STDDEV,  6.7209,  0.7490,  0.0233,  0.4608,
STDDEV,   97.1303,    6.7752,0.0005,0.0041,
3 % STDDEV, 20.1627,  2.2471,  0.0698,  1.3824,
3 STDDEV,  291.3908,   20.3255,0.0014,0.0124,
RANGE,  629.6665,   25.2383,0.0023,0.0297,
Site #,Value,Value,Value,Value, X , Y ,
1, 1363.2140,  914.1464,2.0222,0.8931,-24.0144,113.4778,
2, 1374.6721,  912.3254,2.0226,0.8949,  1.2556,113.4778,
3, 1397.5823,  911.0965,2.0226,0.8950, 26.5256,113.4778,
4, 1449.9132,  907.9594,2.0225,0.8958, 77.0656, 83.2858,
5, 1417.0139,  908.1915,2.0221,0.8965, 51.7956, 83.2858,
6, 1389.2520,  908.2104,2.0225,0.8956, 26.5256, 83.2858,
7, 1390.2651,  909.4125,2.0223,0.8936,  1.2556, 83.2858,
8, 1390.8521,  911.2292,2.0221,0.8937,-24.0144, 83.2858,
9, 1364.3209,  913.5574,2.0225,0.8933,-49.2844, 83.2858,
10, 1371.6317,  917.5381,2.0225,0.8931,-74.5544, 83.2858,
11, 1381.7605,  917.8438,2.0228,0.8929,-99.8244, 53.0938,
12, 1369.3818,  914.4381,2.0224,0.8939,-74.5544, 53.0938,
